# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
men 	們	c=3 d=0.814753 t=56430
men 	門	c=1 d=1.23813e-13 t=56430
men hu 	門戶	c=1 d=0.0193512 t=56430
men jin 	門禁	c=10 d=0.893016 t=56430
men jin she bei 	門禁設備	c=1 d=0.19398 t=56430
men kan 	門檻	c=0 d=0.0539667 t=56430
men kou 	門口	c=1 d=1 t=55968
men kuang 	門框	c=1 d=0.0450492 t=56430
men ling 	門鈴	c=1 d=0.343009 t=56430
meng 	夢	c=1 d=0.01649 t=56430
meng jin 	猛進	c=1 d=1.32791e-13 t=56430
mi 	咪	c=0 d=0.00229371 t=56430
mi 	密	c=0 d=0.0514274 t=56430
mi 	米	c=4 d=1.94696 t=56430
mi feng 	密封	c=1 d=0.615697 t=56430
mi jia 	米家	c=2 d=0.0497871 t=56430
mi li 	迷離	c=2 d=1.5851 t=56430
mi ma 	密碼	c=55 d=3.8927 t=56430
mi mian 	米麪	c=1 d=1.40567e-06 t=56430
mi xian 	米線	c=1 d=0.00577048 t=56430
mi yao 	密鑰	c=15 d=1.72358 t=56430
mi yu 	謎語	c=0 d=0.00340475 t=56430
mi yu ren 	謎語人	c=1 d=0.0342181 t=56430
mian 	免	c=1 d=0.549311 t=56430
mian 	麪	c=2 d=0.0143822 t=56430
mian ao 	棉襖	c=1 d=0.786628 t=56430
mian ban 	面板	c=1 d=1.18672e-14 t=56430
mian bao 	麪包	c=6 d=0.846847 t=56430
mian bao dai 	麪包袋	c=1 d=0.226502 t=56430
mian fei 	免費	c=1 d=8.31812e-11 t=56430
mian fei ban 	免費版	c=2 d=2.71524e-08 t=56430
mian ji 	面積	c=4 d=7.97607e-05 t=56430
mian kong 	面孔	c=3 d=0.744339 t=56430
mian mi 	免祕	c=1 d=0.491644 t=56430
mian mi 	免米	c=2 d=0.975943 t=56430
mian mi deng lu 	免密登錄	c=3 d=1.59571 t=56430
mian mi ma 	免密碼	c=1 d=0.465334 t=56430
mian rong 	面容	c=1 d=0.0154523 t=56430
mian shi 	面試	c=5 d=0.998465 t=56430
mian shi ti 	面試體	c=1 d=0.000335463 t=56430
mian shu 	面熟	c=1 d=0.311923 t=56430
mian shui 	免稅	c=3 d=8.88954e-08 t=56430
mian ti 	免提	c=2 d=1.98506 t=56430
mian xiang 	面向	c=1 d=0.321506 t=56430
mian xiang hang 	面向行	c=1 d=0.519442 t=56430
mian ze sheng ming 	免責聲明	c=1 d=3.70038e-11 t=56430
miao 	秒	c=8 d=1.0285 t=56430
miao biao 	秒錶	c=1 d=3.24035e-08 t=56430
miao dong 	秒懂	c=1 d=0.00449405 t=56430
miao ka 	秒卡	c=1 d=2.63248e-05 t=56430
miao shu 	描述	c=15 d=0.797887 t=56430
miao shu 	秒數	c=2 d=0.00771183 t=56430
miao shu yi xia 	描述以下	c=1 d=3.03746e-12 t=56430
mie 	蔑	c=1 d=0.351692 t=56430
min gan 	敏感	c=3 d=0.0992613 t=56430
min gan xing 	敏感性	c=1 d=0.0434997 t=56430
min guo 	民國	c=1 d=0.980199 t=56430
ming 	名	c=106 d=4.44148 t=56430
ming bai 	明白	c=1 d=1 t=56430
ming bai le 	明白了	c=1 d=2.80927e-05 t=56430
ming chao 	明朝	c=1 d=1.07634 t=56430
ming cheng 	名稱	c=158 d=3.37327 t=56430
ming dan 	名單	c=0 d=0.000315111 t=56430
ming huo 	明火	c=3 d=0.00180525 t=56430
ming ling 	命令	c=101 d=13.3817 t=56430
ming ling hang 	命令行	c=24 d=4.18918 t=56430
ming ling jiao ben 	命令腳本	c=1 d=1.02017e-29 t=56430
ming ming 	命名	c=90 d=4.73078 t=56430
ming ming 	明明	c=3 d=1.6696 t=56430
ming mu 	名木	c=6 d=0.0584866 t=56430
ming nian 	明年	c=1 d=0.0263839 t=56430
ming que 	明確	c=2 d=0.87231 t=56430
ming shu 	命數	c=0 d=0.0158025 t=56430
ming tian 	明天	c=15 d=0.911074 t=56430
ming xing 	明星	c=1 d=0.000135032 t=56430
ming yan 	明煙	c=3 d=0.00179018 t=56430
ming yun 	命運	c=1 d=0.000280202 t=56430
ming zi 	名字	c=21 d=3.14189 t=56430
miu cheng 	謬成	c=1 d=5.67182e-06 t=56430
mo 	模	c=1 d=0.0332068 t=56430
mo 	膜	c=1 d=1 t=56081
mo ban 	模板	c=200 d=8.98531 t=56430
mo ban biao 	模板表	c=1 d=0.000159256 t=56430
mo ban he 	模板和	c=1 d=0.000202454 t=56430
mo ban ku 	模板庫	c=1 d=2.22395e-21 t=56430
mo ban wen jian 	模板文件	c=1 d=0.000212834 t=56430
mo bing 	莫並	c=3 d=0.121447 t=56430
mo bing jiang 	莫並將	c=1 d=0.000269215 t=56430
mo dao 	墨刀	c=1 d=0.188247 t=56430
mo de 	摩的	c=1 d=0.0845849 t=56430
mo er 	摩爾	c=0 d=0.00880368 t=56430
mo er fei 	摩爾非	c=1 d=0.0884781 t=56430
mo fang 	模仿	c=1 d=0.0515605 t=56430
mo gai 	莫該	c=1 d=1.04078e-29 t=56430
mo gai 	魔改	c=2 d=0.543351 t=56430
mo gu 	蘑菇	c=1 d=0.00444934 t=56430
mo hu 	模糊	c=22 d=4.45034 t=56430
mo jie 	魔戒	c=5 d=2.15225e-05 t=56430
mo kuai 	模塊	c=113 d=3.42483 t=56430
mo lu 	陌路	c=1 d=0.000550326 t=56430
mo mo 	摸摸	c=0 d=0.157667 t=56430
mo mo chang 	摸摸唱	c=1 d=2.46212e-12 t=56430
mo mo yu 	摸摸魚	c=1 d=0.609571 t=56430
mo ni 	模擬	c=11 d=3.8695 t=56430
mo ni qi 	模擬器	c=3 d=0.230449 t=56430
mo ren 	默認	c=71 d=7.46271 t=56430
mo ren de 	默認的	c=2 d=0.631284 t=56430
mo ren fang fa 	默認方法	c=1 d=1.9623e-19 t=56430
mo ren wei 	默認爲	c=1 d=6.31929e-13 t=56430
mo ren xin xi 	默認信息	c=1 d=0.83527 t=56430
mo ren zhi 	默認值	c=37 d=1.63775 t=56430
mo ri 	末日	c=1 d=0.00419023 t=56430
mo sheng ren 	陌生人	c=1 d=0.217621 t=56430
mo shi 	模式	c=50 d=4.16626 t=56430
mo shi xia 	模式下	c=2 d=0.243175 t=56430
mo shu 	魔術	c=1 d=0.120633 t=56430
mo sun 	磨損	c=1 d=0.0270518 t=56430
mo wei 	末尾	c=1 d=0.000210716 t=56430
mo xing 	模型	c=63 d=0.770825 t=56430
mo xing biao 	模型表	c=1 d=1.71333e-11 t=56430
mo xing mo kuai 	模型模塊	c=1 d=3.06006e-11 t=56430
mo ya 	磨牙	c=1 d=0.0266491 t=56430
mo yu 	摸魚	c=2 d=0.22313 t=56430
mo zhe 	墨者	c=0 d=3.74661e-11 t=56430
mou 	某	c=10 d=1.4426 t=56430
mou ci 	某次	c=2 d=0.790587 t=56430
mou duan 	某段	c=1 d=0.778801 t=56430
mou duan hua 	某段話	c=1 d=0.0544757 t=56430
mou ge 	某個	c=33 d=8.05874 t=56430
mou ge bao 	某個包	c=1 d=0.97531 t=56430
mou gen er 	某根兒	c=1 d=0.000611252 t=56430
mou mou 	某某	c=1 d=0.00336274 t=56430
mou qi 	某器	c=1 d=2.52925e-05 t=56430
mou xie 	某些	c=2 d=1.36481 t=56430
mou yi duan 	某一段	c=1 d=0.000639388 t=56430
mou yi tian 	某一天	c=2 d=0.0454183 t=56430
mou zhi 	某值	c=4 d=0.418952 t=56430
mou zhong 	某種	c=1 d=0.421052 t=56430
mou zi duan 	某字段	c=1 d=3.64777e-19 t=56430
mu 	木	c=1 d=0.159614 t=56430
mu 	目	c=0 d=0.00851653 t=56430
mu biao 	目標	c=20 d=0.432559 t=56430
mu biao zhi 	目標值	c=1 d=0.00873865 t=56430
mu chang 	牧場	c=4 d=0.172282 t=56430
mu di 	目的	c=1 d=0.767206 t=56430
mu di di 	目的地	c=1 d=0.00357068 t=56430
mu ke 	幕客	c=1 d=0.603506 t=56430
mu li 	牡蠣	c=0 d=0.0124307 t=56430
mu li shi 	牡蠣是	c=1 d=0.12493 t=56430
mu lu 	目錄	c=37 d=4.00714 t=56430
mu qian 	目前	c=1 d=0.145148 t=56430
mu zi 	模子	c=1 d=0.00941925 t=56430
na 	那	c=32 d=1.90969 t=56430
na bian 	那邊	c=1 d=0.380983 t=56430
na chuan 	那串	c=1 d=0.965605 t=56430
na ci 	那次	c=1 d=0.891366 t=56430
na dao 	拿到	c=9 d=0.499345 t=56430
na duan 	哪端	c=1 d=4.55174e-06 t=56430
na ge 	哪個	c=56 d=4.42764 t=56430
na ge 	那個	c=24 d=0.995032 t=56430
na ge yi yang 	那個一樣	c=1 d=0.0169075 t=56430
na guai 	拿拐	c=1 d=0.120032 t=56430
na hai 	那還	c=2 d=0.0117068 t=56430
na hai hao 	那還好	c=2 d=0.900406 t=56430
na hai xing 	那還型	c=1 d=0.117655 t=56430
na hang 	哪行	c=1 d=3.11541e-16 t=56430
na ji ge 	哪幾個	c=1 d=0.0037164 t=56430
na ji jia 	那幾家	c=1 d=0.292293 t=56430
na ji zhong 	哪幾種	c=1 d=0.000843972 t=56430
na jia 	那家	c=1 d=0.995012 t=56430
na jian 	哪件	c=1 d=0.647265 t=56430
na jiu 	那就	c=5 d=0.909373 t=56430
na jiu hao 	那就好	c=2 d=0.0344453 t=56430
na jiu yao 	那就要	c=1 d=0.122456 t=56430
na ke yi 	那可以	c=1 d=0.0020396 t=56430
na lai 	哪來	c=1 d=5.1197e-07 t=56430
na le 	拿了	c=1 d=0.031273 t=56430
na li 	哪裏	c=18 d=4.14046 t=56430
na li 	那裏	c=4 d=0.918794 t=56430
na li chu 	哪裏出	c=1 d=0.960789 t=56430
na li mai 	哪裏買	c=1 d=0.000784864 t=56430
na me 	那麼	c=14 d=1.09654 t=56430
na me duo 	那麼多	c=1 d=0.000151489 t=56430
na me kuai 	那麼快	c=1 d=0.122456 t=56430
na mei ban fa 	那沒辦法	c=1 d=0.0134335 t=56430
na ni 	拿你	c=1 d=0.755784 t=56430
na ni 	那你	c=2 d=0.759572 t=56430
na ni zhe 	那逆着	c=1 d=0.447088 t=56430
na shi hou 	那時候	c=1 d=0.125556 t=56430
na tai 	那臺	c=2 d=0.00020461 t=56430
na tian 	哪天	c=1 d=0.0497871 t=56430
na tian 	那天	c=1 d=0.0495388 t=56430
na ting hao 	那挺好	c=1 d=0.127454 t=56430
na wei shen me 	那爲什麼	c=1 d=0.0658748 t=56430
na wo 	那我	c=6 d=0.825142 t=56430
na wo bei pian le 	那我被騙了	c=1 d=0.000614317 t=56430
na xie 	哪些	c=21 d=3.64644 t=56430
na xing 	那行	c=1 d=0.612626 t=56430
na yang 	那樣	c=2 d=0.358796 t=56430
na yi 	哪一	c=1 d=3.15981e-06 t=56430
na yi hou 	那以後	c=1 d=1.48131e-05 t=56430
na yi zhong 	哪一種	c=1 d=0.0280154 t=56430
na ying gai 	那應該	c=2 d=0.111359 t=56430
na you 	哪有	c=2 d=0.19593 t=56430
na zen me ban 	那怎麼辦	c=1 d=0.0274607 t=56430
na zhang 	那張	c=1 d=0.0221482 t=56430
na zhang biao 	那張表	c=1 d=2.13051e-16 t=56430
na zhe 	拿着	c=1 d=1.08325e-29 t=56430
na zhong 	哪種	c=6 d=0.257791 t=56430
nai cha 	奶茶	c=1 d=0.0295994 t=56430
nai nai 	奶奶	c=1 d=3.11329e-08 t=56430
nai xin 	耐心	c=1 d=0.26982 t=56430
nan 	男	c=4 d=0.133695 t=56430
nan 	難	c=3 d=1.06249 t=56430
nan dao 	難道	c=1 d=0.481909 t=56430
nan dong 	難懂	c=1 d=0.941765 t=56430
nan feng 	南風	c=1 d=0.670321 t=56430
nan feng tian 	南風天	c=1 d=5.30116e-05 t=56430
nan feng tian 	男豐田	c=1 d=0.00232276 t=56430
nan guai 	難怪	c=2 d=0.919194 t=56430
nan guo 	難過	c=1 d=4.18226e-10 t=56430
nan shou 	難受	c=2 d=0.467666 t=56430
nan wei 	南緯	c=1 d=0.00388746 t=56430
nan xing 	男性	c=2 d=0.134001 t=56430
nan yi 	難以	c=1 d=0.694197 t=56430
nao 	鬧	c=1 d=0.99005 t=56430
nao gua 	腦瓜	c=1 d=0.329559 t=56430
nao jing 	鬧經	c=1 d=5.43906e-13 t=56430
nao zhong 	鬧鐘	c=1 d=2.43091e-09 t=56430
nao zi 	腦子	c=2 d=0.0203754 t=56430
ne 	呢	c=85 d=9.64531 t=56430
ne wei 	呢爲	c=2 d=0.0235177 t=56430
ne zhun 	呢準	c=1 d=0.247833 t=56430
nei 	內	c=34 d=1.99766 t=56430
nei bu 	內部	c=7 d=0.94766 t=56430
nei cun 	內存	c=58 d=4.86641 t=56430
nei cun zhong 	內存中	c=1 d=2.36557e-12 t=56430
nei de 	內的	c=2 d=0.00207043 t=56430
nei he 	內核	c=7 d=0.677064 t=56430
nei rong 	內容	c=31 d=4.01164 t=56430
nei tong 	內桶	c=3 d=0.127454 t=56430
nei zhi 	內置	c=18 d=2.30074 t=56430
nei zhi de 	內置的	c=1 d=0.000139842 t=56430
neng 	能	c=108 d=7.30411 t=56430
neng a 	能啊	c=1 d=2.56748e-05 t=56430
neng ba 	能把	c=1 d=0.216536 t=56430
neng bu neng 	能不能	c=19 d=1.62753 t=56430
neng cha dao 	能查到	c=1 d=9.02962e-06 t=56430
neng dou 	能都	c=1 d=0.197899 t=56430
neng fen zu 	能分組	c=1 d=1.04078e-29 t=56430
neng fou 	能否	c=70 d=5.18267 t=56430
neng fou shi xian 	能否實現	c=1 d=4.93252e-10 t=56430
neng gai 	能改	c=1 d=1.13373e-06 t=56430
neng gan zhi 	能感知	c=1 d=0.115325 t=56430
neng gou 	能夠	c=6 d=1.42404 t=56430
neng hao 	能耗	c=4 d=0.0534918 t=56430
neng he 	能和	c=1 d=0.29671 t=56430
neng hui gun 	能回滾	c=1 d=0.170333 t=56430
neng jian hua 	能簡化	c=1 d=4.37327e-06 t=56430
neng jie shi 	能解釋	c=1 d=0.869358 t=56430
neng kan dao 	能看到	c=1 d=0.843665 t=56430
neng li 	能力	c=2 d=0.0106734 t=56430
neng liang 	能量	c=1 d=0.0200405 t=56430
neng mai de 	能買的	c=1 d=0.0578443 t=56430
neng wan 	能玩	c=1 d=0.183599 t=56430
neng xuan 	能選	c=1 d=2.6e-06 t=56430
neng yong 	能用	c=6 d=0.9071 t=56430
neng you 	能有	c=1 d=0.000599149 t=56430
neng zai 	能再	c=3 d=0.878095 t=56430
neng zheng chang 	能正常	c=2 d=0.847894 t=56430
neng zhui su 	能追溯	c=1 d=0.166127 t=56430
ni 	你	c=92 d=6.08356 t=56430
ni ba 	你把	c=2 d=2.1717e-06 t=56430
ni bang wo 	你幫我	c=2 d=0.00208081 t=56430
ni bu shi 	你不是	c=1 d=2.51057e-06 t=56430
ni bu shuo 	你不說	c=1 d=0.384812 t=56430
ni cai 	你猜	c=4 d=0.13652 t=56430
ni cai 	你纔	c=1 d=0.0361528 t=56430
ni cheng 	昵稱	c=1 d=6.23707e-06 t=56430
ni da 	你打	c=1 d=0.110251 t=56430
ni de 	你的	c=30 d=4.10087 t=56430
ni dou 	你都	c=1 d=0.201897 t=56430
ni fa de 	你發的	c=2 d=0.511709 t=56430
ni fa de a 	你發的啊	c=1 d=0.0098528 t=56430
ni fa le 	你發了	c=1 d=0.211189 t=56430
ni hai neng 	你還能	c=1 d=0.000182274 t=56430
ni hao 	你好	c=7 d=0.836618 t=56430
ni he 	你和	c=0 d=0.00948935 t=56430
ni he shei 	你和誰	c=1 d=0.0953692 t=56430
ni ju ran 	你居然	c=1 d=9.18981e-07 t=56430
ni kan 	你看	c=2 d=0.0181336 t=56430
ni kan kan 	你看看	c=1 d=1.4595e-07 t=56430
ni kan wo xie de 	你看我寫的	c=1 d=0.000448321 t=56430
ni kan xia 	你看下	c=5 d=1.35323 t=56430
ni ke yi 	你可以	c=2 d=0.00344787 t=56430
ni kuai dian 	你快點	c=2 d=0.0686077 t=56430
ni lai 	你來	c=1 d=4.03772e-08 t=56430
ni liao jie 	你瞭解	c=1 d=6.33456e-12 t=56430
ni men 	你們	c=9 d=0.902997 t=56430
ni neng 	你能	c=3 d=0.00343067 t=56430
ni qu 	你去	c=1 d=0.0208584 t=56430
ni que ding ma 	你確定嗎	c=1 d=0.00115923 t=56430
ni ren wei 	你認爲	c=1 d=0.0728029 t=56430
ni shang ci 	你上次	c=1 d=0.701173 t=56430
ni shang mian 	你上面	c=2 d=1.1068 t=56430
ni shi 	你是	c=2 d=0.188456 t=56430
ni shi shei 	你是誰	c=1 d=0.000162473 t=56430
ni shi xia 	你試下	c=1 d=0.08291 t=56430
ni shuo 	你說	c=0 d=0.0427415 t=56430
ni shuo cuo le 	你說錯了	c=1 d=0.429557 t=56430
ni shuo de 	你說的	c=3 d=0.0111647 t=56430
ni wang le 	你忘了	c=1 d=0.138069 t=56430
ni xian 	你先	c=2 d=0.0657126 t=56430
ni xian hui jia 	你先回家	c=1 d=0.66034 t=56430
ni xian nong 	你先弄	c=1 d=0.000232877 t=56430
ni xian zai 	你現在	c=1 d=0.131994 t=56430
ni xiang yao de 	你想要的	c=1 d=0.154896 t=56430
ni xing 	逆行	c=1 d=0.115325 t=56430
ni xu yao 	你需要	c=3 d=1.79077 t=56430
ni yao 	你要	c=1 d=0.143626 t=56430
ni yao bu yao 	你要不要	c=1 d=0.00396599 t=56430
ni yao lai a 	你要來啊	c=1 d=0.860708 t=56430
ni yao lai ne 	你要來呢	c=1 d=0.847894 t=56430
ni yao shi 	你要是	c=3 d=0.807421 t=56430
ni ye 	你也	c=1 d=0.0318224 t=56430
ni ye kan dao le 	你也看到了	c=1 d=0.319819 t=56430
ni yi jing 	你已經	c=1 d=0.031117 t=56430
ni ying gai 	你應該	c=1 d=0.554327 t=56430
ni you mei you 	你有沒有	c=3 d=0.0174727 t=56430
ni you mei you shen me 	你有沒有什麼	c=1 d=0.157237 t=56430
ni zai 	你在	c=3 d=0.433927 t=56430
ni zen me 	你怎麼	c=1 d=0.235746 t=56430
ni zhe 	逆着	c=2 d=0.0800583 t=56430
ni zhe ge 	你這個	c=3 d=0.0200897 t=56430
ni zhi dao 	你知道	c=6 d=0.597501 t=56430
ni zhun bei 	你準備	c=1 d=8.72202e-10 t=56430
nian 	年	c=9 d=3.83411 t=56430
nian 	黏	c=1 d=1 t=56080
nian du 	年度	c=1 d=0.690734 t=56430
nian hua re cao 	拈花惹草	c=1 d=0.0278757 t=56430
nian jia 	年假	c=3 d=0.329559 t=56430
nian jian 	年檢	c=1 d=0.00219846 t=56430
nian jian 	年間	c=1 d=0.00218749 t=56430
nian liang 	年量	c=1 d=0.71177 t=56430
nian ling 	年齡	c=1 d=0.000121572 t=56430
nian ling duan 	年齡段	c=2 d=0.000235962 t=56430
nian mo 	粘膜	c=1 d=1 t=56079
nian zhong jiang 	年終獎	c=1 d=0.1764 t=56430
niang niang 	娘娘	c=3 d=0.0192306 t=56430
nie 	捏	c=1 d=3.20756e-06 t=56430
nin 	您	c=1 d=0.000120363 t=56430
nin de 	您的	c=4 d=0.0184084 t=56430
ning hua 	寧化	c=1 d=0.0131675 t=56430
ning hua xian 	寧化縣	c=2 d=1.21502 t=56430
ning jin 	擰緊	c=1 d=0.0152985 t=56430
ning meng 	檸檬	c=1 d=0.000271921 t=56430
niu bi 	牛逼	c=1 d=0.0372538 t=56430
niu ke 	牛可	c=1 d=0.640824 t=56430
niu rou 	牛肉	c=2 d=0.00585769 t=56430
nong 	弄	c=16 d=3.74879 t=56430
nong bu hao 	弄不好	c=1 d=0.690734 t=56430
nong bu wan 	弄不玩	c=1 d=0.0081887 t=56430
nong chu lai 	弄出來	c=1 d=0.000696112 t=56430
nong cuo 	弄錯	c=1 d=0.100259 t=56430
nong de 	弄得	c=2 d=0.000113353 t=56430
nong diu le 	弄丟了	c=1 d=0.00484407 t=56430
nong hao 	弄好	c=3 d=0.661929 t=56430
nong le 	弄了	c=2 d=0.0332068 t=56430
nong li 	農曆	c=1 d=0.0169922 t=56430
nong ye 	農業	c=2 d=1.16259 t=56430
nu xing 	奴性	c=0 d=0.00898153 t=56430
nuan huo 	暖和	c=1 d=6.75654e-06 t=56430
nuo 	挪	c=2 d=1.77828 t=56430
nv 	女	c=3 d=1.05253 t=56430
nv er 	女兒	c=1 d=0.980199 t=56430
nv peng you 	女朋友	c=1 d=0.00486835 t=56430
nv xing 	女性	c=3 d=0.00925086 t=56430
nv zi 	女子	c=1 d=0.744532 t=56430
nv zu 	女足	c=1 d=0.740818 t=56430
o 	哦	c=16 d=2.48657 t=56430
o o 	哦哦	c=33 d=1.03896 t=56430
ou er 	偶爾	c=1 d=0.000777055 t=56430
ou he 	耦合	c=2 d=0.0001441 t=56430
ou ran 	偶然	c=1 d=0.97531 t=56430
pa 	怕	c=12 d=1.33336 t=56430
pa 	爬	c=1 d=0.000459671 t=56430
pa ni 	怕你	c=3 d=0.197122 t=56430
pa ru 	爬入	c=5 d=3.06619 t=56430
pai 	拍	c=1 d=0.00425356 t=56430
pai cha 	排查	c=3 d=0.691558 t=56430
pai chu 	排除	c=16 d=0.756626 t=56430
pai chu zi shen 	排除自身	c=1 d=0.00307331 t=56430
pai gu 	排骨	c=1 d=0.132655 t=56430
pai hang 	排行	c=1 d=1.9718e-17 t=56430
pai hang bang 	排行榜	c=1 d=0.276651 t=56430
pai la ji dui 	拍垃圾堆	c=1 d=0.0349094 t=56430
pai xu 	排序	c=15 d=1.58085 t=56430
pai zhao 	拍照	c=9 d=0.0763948 t=56430
pan 	盤	c=7 d=3.69012 t=56430
pan duan 	判斷	c=83 d=7.91804 t=56430
pan duan shi 	判斷時	c=1 d=4.20179e-06 t=56430
pan gu 	盤古	c=3 d=0.970446 t=56430
pan kong 	判空	c=8 d=0.782356 t=56430
pan kong 	盤空	c=1 d=0.150318 t=56430
pang 	胖	c=1 d=0.000125903 t=56430
pang bian 	旁邊	c=2 d=0.00431784 t=56430
pao 	拋	c=8 d=0.0532172 t=56430
pao 	跑	c=6 d=2.10909 t=56430
pao bu 	跑步	c=1 d=0.000652304 t=56430
pao chu 	拋出	c=10 d=1.07751 t=56430
pao dao 	跑到	c=1 d=0.946485 t=56430
pao xia 	泡下	c=1 d=0.900325 t=56430
pao yi chang 	拋異常	c=2 d=0.532592 t=56430
pao zhe 	泡着	c=1 d=1 t=56005
pei 	配	c=3 d=0.0140374 t=56430
pei chang 	賠償	c=1 d=1.09473e-06 t=56430
pei chui 	陪吹	c=1 d=1.03042e-29 t=56430
pei de 	配得	c=1 d=1.81488e-12 t=56430
pei de 	配的	c=1 d=0.519442 t=56430
pei dian 	配電	c=1 d=2.06777e-14 t=56430
pei le 	配了	c=1 d=0.348192 t=56430
pei ni 	陪你	c=2 d=0.379386 t=56430
pei se 	配色	c=1 d=0.481909 t=56430
pei song 	配送	c=2 d=0.169394 t=56430
pei ta 	陪她	c=0 d=1.70803e-05 t=56430
pei ta wan 	陪她玩	c=1 d=0.000171659 t=56430
pei tu 	配圖	c=2 d=0.0160829 t=56430
pei xun 	培訓	c=1 d=0.00252883 t=56430
pei xun ban 	培訓班	c=1 d=0.00301246 t=56430
pei zhi 	配置	c=250 d=15.2189 t=56430
pei zhi de 	配置的	c=2 d=0.00895987 t=56430
pei zhi le 	配置了	c=1 d=0.013912 t=56430
pei zhi lei 	配置類	c=3 d=5.10249e-15 t=56430
pei zhi wen jian 	配置文件	c=1 d=1.09757e-07 t=56430
pei zhi zai 	配置在	c=1 d=0.00748391 t=56430
pi 	皮	c=1 d=0.423162 t=56430
pi dan 	皮蛋	c=1 d=0.774916 t=56430
pi gu tong 	屁股痛	c=1 d=0.0987662 t=56430
pi liang 	批量	c=45 d=5.3313 t=56430
pi neng 	俾能	c=1 d=1.64956e-06 t=56430
pi pei 	匹配	c=69 d=11.9081 t=56430
pi zhu 	批註	c=1 d=6.36307e-06 t=56430
pia 	啪	c=1 d=0.865022 t=56430
pian 	片	c=2 d=6.03717e-15 t=56430
pian 	篇	c=1 d=2.64567e-05 t=56430
pian gao 	偏高	c=1 d=0.532592 t=56430
pian ni 	騙你	c=1 d=0.0163259 t=56430
pian ren 	騙人	c=1 d=0.000867409 t=56430
pian yi 	便宜	c=2 d=0.0280199 t=56430
pian yi 	偏移	c=4 d=0.860517 t=56430
piao 	票	c=0 d=0.014808 t=56430
piao liang 	漂亮	c=1 d=0.00775048 t=56430
piao yi 	漂移	c=0 d=0.00564161 t=56430
piao yi dao 	漂移到	c=1 d=0.0566989 t=56430
pin 	品	c=1 d=0.0428521 t=56430
pin cuo 	拼錯	c=1 d=1.08325e-29 t=56430
pin fan 	頻繁	c=1 d=0.226502 t=56430
pin jie 	拼接	c=20 d=0.239901 t=56430
pin jie dao 	拼接到	c=1 d=0.020141 t=56430
pin jie shang 	拼接上	c=1 d=0.00142298 t=56430
pin lv 	頻率	c=1 d=0.66365 t=56430
pin pai 	品牌	c=5 d=0.120805 t=56430
pin xie 	拼寫	c=6 d=0.0767643 t=56430
pin yin 	拼音	c=5 d=0.255396 t=56430
pin yun 	品雲	c=1 d=3.93736e-06 t=56430
pin zhuang 	拼裝	c=2 d=0.268474 t=56430
ping 	平	c=1 d=0.0980199 t=56430
ping bi 	屏蔽	c=5 d=0.94551 t=56430
ping ce 	評測	c=2 d=2.16816e-08 t=56430
ping chang 	平常	c=1 d=3.7498e-20 t=56430
ping chuang li 	平創立	c=1 d=0.985112 t=56430
ping gu 	評估	c=2 d=1.42002 t=56430
ping guo 	蘋果	c=3 d=0.784961 t=56430
ping jun 	平均	c=1 d=0.00130051 t=56430
ping jun zhi 	平均值	c=1 d=0.257947 t=56430
ping lun 	評論	c=3 d=1.98204 t=56430
ping mian 	平面	c=6 d=1.46498e-14 t=56430
ping mian tu 	平面圖	c=11 d=2.46661e-14 t=56430
ping mu 	屏幕	c=15 d=1.60732 t=56430
ping mu hang 	屏幕行	c=1 d=0.00133343 t=56430
ping pu 	平鋪	c=3 d=0.0289137 t=56430
ping tai 	平臺	c=10 d=0.649373 t=56430
ping ti 	平替	c=1 d=4.83897e-20 t=56430
po 	破	c=1 d=1.92181e-09 t=56430
po huai xing 	破壞性	c=4 d=1.9458 t=56430
po jie 	破解	c=2 d=2.91231e-17 t=56430
po po lan lan 	破破爛爛	c=1 d=0.00106477 t=56430
pu tong 	普通	c=9 d=1.24425 t=56430
pu tong ren 	普通人	c=1 d=0.00292342 t=56430
qi 	七	c=2 d=1.30674e-16 t=56430
qi 	其	c=3 d=0.882523 t=56430
qi 	器	c=33 d=4.5822 t=56430
qi 	奇	c=0 d=0.0458406 t=56430
qi 	期	c=1 d=0.615697 t=56430
qi 	起	c=6 d=2.19349 t=56430
qi 	騎	c=1 d=0.176947 t=56430
qi 	齊	c=1 d=0.323033 t=56430
qi an xin 	奇安信	c=1 d=0.460704 t=56430
qi ba 	七八	c=0 d=0.0362402 t=56430
qi bu 	起步	c=1 d=0.0776922 t=56430
qi che 	汽車	c=2 d=0.0652199 t=56430
qi che 	騎車	c=3 d=0.172045 t=56430
qi chi 	啓齒	c=1 d=0.697676 t=56430
qi dai 	期待	c=1 d=0.000437252 t=56430
qi dao 	起到	c=1 d=2.71311e-07 t=56430
qi dian 	七點	c=1 d=0.348192 t=56430
qi dian dong che 	騎電動車	c=1 d=0.960789 t=56430
qi dong 	啓動	c=53 d=11.7816 t=56430
qi dong qi 	啓動器	c=1 d=1 t=56430
qi dong shi 	啓動時	c=3 d=0.587844 t=56430
qi dong shi 	啓東市	c=1 d=0.346456 t=56430
qi ge 	七個	c=1 d=0.494109 t=56430
qi guai 	奇怪	c=5 d=0.715637 t=56430
